openalexid,title,original_paper_date,original_paper_doi,retraction_date,retraction_doi,reason
https://openalex.org/W2886242761,When Words Hurt: Affective Word Use in Daily News Coverage Impacts Mental Health,2018-08-02T00:00:00Z,10.3389/fpsyg.2018.01333,2020-12-17T00:00:00Z,10.3389/fpsyg.2020.630044,+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;
https://openalex.org/W2130836170,Search of Self Amidst Chaos,2015-03-14T00:00:00Z,10.1007/s40737-015-0023-8,2020-12-08T00:00:00Z,10.1007/s40737-020-00208-2,+Notice - Limited or No Information;
https://openalex.org/W2030513569,Impact of disguise on identification decisions and confidence with simultaneous and sequential lineups,2012-02-20T00:00:00Z,10.1037/h0093937,2020-12-01T00:00:00Z,10.1037/lhb0000435,+Error in Data;+Error in Methods;+Retract and Replace;
https://openalex.org/W3100972095,Observations on Homosexuality Among University Students,1951-05-01T00:00:00Z,unavailable,2020-12-01T00:00:00Z,10.1097/NMD.0000000000001273,+Doing the Right Thing;+Bias Issues or Lack of Balance;
https://openalex.org/W3016622814,Psychometric properties of a short version of the Job Anxiety Scale,2020-04-21T00:00:00Z,10.1186/s12874-020-00974-4,2020-11-30T00:00:00Z,10.1186/s12874-020-01166-w,+Copyright Claims;+Lack of Approval from Third Party;
https://openalex.org/W2890034505,Cardiovascular and Self-Regulatory Consequences of SES-Based Social Identity Threat,2019-05-01T00:00:00Z,10.1177/0146167218795157,2020-11-13T00:00:00Z,10.1177/0146167220973962,+Falsification/Fabrication of Data;+Falsification/Fabrication of Results;
https://openalex.org/W3031414725,Writer identification using graphemes,2020-02-05T00:00:00Z,10.1007/s12046-020-1276-9,2020-11-04T00:00:00Z,10.1007/s12046-020-01516-w,+Plagiarism of Article;
https://openalex.org/W2566539855,NA,NA,NA,NA,NA,NA
https://openalex.org/W3015988522,Mental health burden for the public affected by the COVID-19 outbreak in China: Who will be the high-risk group,2020-04-14T00:00:00Z,10.1080/13548506.2020.1754438,2020-10-23T00:00:00Z,10.1080/13548506.2020.1833631,+Duplication of Article;+False Affiliation;+False/Forged Authorship;
https://openalex.org/W2107036575,Looking for My Self: Identityâ€Driven Attention Allocation,2015-01-13T00:00:00Z,10.1016/j.jcps.2015.01.001,2020-10-14T00:00:00Z,10.1002/jcpy.1196,+Concerns/Issues About Data;
https://openalex.org/W3087365135,Participantsâ€™ perception of the AIIMS Trauma Assessment and Management (ATAM) course for management of polytrauma due to road traffic injuries: A multi-institutional experience from India,2020-10-03T00:00:00Z,10.1016/j.jcot.2020.09.016,2020-10-12T00:00:00Z,10.1016/j.jcot.2020.09.016,+Notice - Lack of;+Temporary Removal;
https://openalex.org/W2168925826,Menâ€™s music ability and attractiveness to women in a real-life courtship context,2013-05-01T00:00:00Z,10.1177/0305735613482025,2020-10-08T00:00:00Z,10.1177/0305735620964704,+Ethical Violations by Author;+Informed/Patient Consent - None/Withdrawn;+Unreliable Data;+Upgrade/Update of Prior Notice;
https://openalex.org/W2788125042,Witnessing Moral Violations Increases Conformity in Consumption,2017-04-18T00:00:00Z,10.1093/jcr/ucx061,2020-10-08T00:00:00Z,10.1093/jcr/ucaa048,+Concerns/Issues About Data;+Concerns/Issues About Results;+Unreliable Results;+Upgrade/Update of Prior Notice;
https://openalex.org/W3015365171,Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study,2020-04-09T00:00:00Z,10.1136/bmjpo-2019-000620,2020-10-01T00:00:00Z,10.1136/bmjpo-2019-000620ret,+Error by Journal/Publisher;+Retract and Replace;
https://openalex.org/W2977894850,The Threeâ€Step Theory of Suicide: An Independent Replication and Conceptual Extension,2020-09-30T00:00:00Z,10.1111/sltb.12590,2020-09-30T00:00:00Z,10.1111/sltb.12590,+Error in Analyses;+Error in Methods;
https://openalex.org/W3000574129,"No glove, no love: General intelligence predicts increased likelihood of condom use in response to HIV threat",2020-01-11T00:00:00Z,10.1016/j.paid.2020.109813,2020-09-14T00:00:00Z,10.1016/j.paid.2020.109813,+Date of Retraction/Other Unknown;+Error in Analyses;+Error in Results and/or Conclusions;
https://openalex.org/W3045846088,Gender Differences in Alcohol Treatment,2020-07-29T00:00:00Z,10.1093/alcalc/agaa071,2020-09-09T00:00:00Z,10.1093/alcalc/agaa095,+Error in Analyses;+Unreliable Results;
https://openalex.org/W2923853181,"Knowledge, Attitudes, and Perceptions Toward Tuberculosis in Bangladesh: A Cross-Sectional Mixed Methods Study",2019-03-18T00:00:00Z,10.1177/1054137319836004,2020-09-01T00:00:00Z,10.1177/1054137320959196,+Euphemisms for Plagiarism;+Plagiarism of Article;
https://openalex.org/W3047921702,"What are postgraduates like in the eyes of their supervisors?â€”The content, structure, and measurement of supervisorsâ€™ implicit followership theories",2020-08-07T00:00:00Z,10.1007/s12144-020-00976-x,2020-08-07T00:00:00Z,10.1007/s12144-020-00976-x,+Date of Retraction/Other Unknown;+Error in Analyses;+Error in Data;+Error in Results and/or Conclusions;+Fake Peer Review;+Rogue Editor;
https://openalex.org/W2916383245,"Resilience, Parenting Style, and Childrenâ€™s Eating Behavior",2019-02-17T00:00:00Z,10.1177/1524500419831084,2020-08-03T00:00:00Z,10.1177/1524500420945546,+Euphemisms for Plagiarism;+Plagiarism of Article;+Taken from Dissertation/Thesis;
https://openalex.org/W2331853116,The Achilles' heel hypothesis: misinformed keystone individuals impair collective learning and reduce group success,2016-01-27T00:00:00Z,10.1098/rspb.2015.2888,2020-07-29T00:00:00Z,10.1098/rspb.2020.0255,+Concerns/Issues About Results;+Investigation by Company/Institution;+Unreliable Data;+Upgrade/Update of Prior Notice;
https://openalex.org/W3042669277,Analysis on the preventive effect preventive initiatives for older adults using artificial intelligence techniques,2020-07-16T00:00:00Z,10.1007/s12144-020-00855-5,2020-07-16T00:00:00Z,10.1007/s12144-020-00855-5,+Author Unresponsive;+Concerns/Issues About Data;+Date of Retraction/Other Unknown;+Fake Peer Review;+Rogue Editor;+Unreliable Results;
https://openalex.org/W2848277139,"Identity Threats, Compensatory Consumption, and Working Memory Capacity: How Feeling Threatened Leads to Heightened Evaluations of Identity-Relevant Products",2019-06-01T00:00:00Z,10.1093/jcr/ucy060,2020-07-03T00:00:00Z,10.1093/jcr/ucaa033,+Concerns/Issues About Data;+Unreliable Results;
https://openalex.org/W3002654673,Declines in Religiosity Predict Increases in Violent Crime-but Not Among Countries With Relatively High Average IQ,2020-01-21T00:00:00Z,10.1177/0956797619897915,2020-06-26T00:00:00Z,10.1177/0956797620941437,+Bias Issues or Lack of Balance;+Objections by Third Party;+Unreliable Image;+Unreliable Results;
https://openalex.org/W3037901691,"The platform feature, self-concept congruence and brand experience: A fuzzy set-based qualitative comparative analysis based on WeChat",2020-06-23T00:00:00Z,10.1007/s12144-020-00788-z,2020-06-23T00:00:00Z,10.1007/s12144-020-00788-z,+Concerns/Issues About Data;+Date of Retraction/Other Unknown;+Error in Analyses;+Error in Methods;+Fake Peer Review;+Rogue Editor;+Unreliable Results;
https://openalex.org/W2898493265,Insomnia and problematic gaming: a study in 9 low-and middle-incomes countries,2018-10-26T00:00:00Z,10.1101/451724,2020-06-19T00:00:00Z,10.1101/451724,+Concerns/Issues About Data;+Lack of Approval from Author;
https://openalex.org/W2083352822,Do pigmentation and the melanocortin system modulate aggression and sexuality in humans as they do in other animals?,2012-03-15T00:00:00Z,10.1016/j.paid.2012.02.015,2020-06-17T00:00:00Z,unavailable,+Investigation by Journal/Publisher;+Investigation by Third Party;+Objections by Third Party;
https://openalex.org/W3034607120,CSI300 volatility predicting by internet usersâ€™ searching behavior,2020-06-13T00:00:00Z,10.1007/s12144-020-00812-2,2020-06-13T00:00:00Z,10.1007/s12144-020-00812-2,+Author Unresponsive;+Date of Retraction/Other Unknown;+Error in Analyses;+Error in Data;+Error in Methods;+Fake Peer Review;+Rogue Editor;+Unreliable Results;
https://openalex.org/W3034533834,Chinese WeChat users and their behavioural features: A case study based on the grounded theory,2020-06-09T00:00:00Z,10.1007/s12144-020-00825-x,2020-06-09T00:00:00Z,10.1007/s12144-020-00825-x,+Author Unresponsive;+Concerns/Issues About Data;+Date of Retraction/Other Unknown;+Error in Data;+Error in Methods;+Fake Peer Review;+Rogue Editor;+Unreliable Results;
https://openalex.org/W2790158165,Connections to Brands That Help Others versus Help the Self: The Impact of Incidental Awe and Pride on Consumer Relationships with Social-Benefit and Luxury Brands,2018-03-12T00:00:00Z,10.1086/697083,2020-06-09T00:00:00Z,10.1086/710128,+Concerns/Issues About Data;+Unreliable Results;
https://openalex.org/W2321745941,Study of Peculiarities of Ethnomental Regulation of Life Perspective Construction in Young Age,2016-05-04T00:00:00Z,10.18323/2221-5662-2016-1-93-98,2020-06-06T00:00:00Z,Unavailable,+Duplication of Article;
https://openalex.org/W2944891671,Hospital Admission and Readmission Among Homeless Patients With Neurologic Disease,2019-05-24T00:00:00Z,10.1212/WNL.0000000000007645,2020-06-04T00:00:00Z,10.1212/WNL.0000000000009565,+Concerns/Issues About Data;+Retract and Replace;
https://openalex.org/W3005458839,"Insomnia, Sleepiness, Anxiety and Depression Among Different Types of Gamers in African Countries",2020-02-06T00:00:00Z,10.1038/s41598-020-58462-0,2020-06-04T00:00:00Z,10.1038/s41598-020-66798-w,+Concerns/Issues About Data;+Concerns/Issues About Results;
https://openalex.org/W2618618692,Social and Psychological Characteristics of Architectural Design,2017-01-01T00:00:00Z,10.18503/2309-7434-2017-1(9)-27-31,2020-06-04T00:00:00Z,Unavailable,+Euphemisms for Plagiarism;+Plagiarism of Text;
https://openalex.org/W3039835111,Quantic approach to mind-matter interaction,2020-04-25T00:00:00Z,10.12032/life2020-0422-401,2020-05-20T00:00:00Z,unavailable,+Plagiarism of Article;
https://openalex.org/W2896070356,"Quality of Life and PTSD Symptoms, and Temperament and Coping With Stress",2018-11-01T00:00:00Z,10.3389/fpsyg.2018.02072,2020-05-12T00:00:00Z,10.3389/fpsyg.2020.01174,+Duplication of Article;
https://openalex.org/W4205830800,Association Between Particulate Matter Air Pollution and Risk of Depression and Suicide: Systematic Review and Meta-Analysis,2019-08-01T00:00:00Z,10.1192/bjp.2018.295,2020-04-30T00:00:00Z,10.1192/bjp.2020.87,+Error in Analyses;+Unreliable Results;
https://openalex.org/W2150812040,Visual causality judgments correlate with the phase of alpha oscillations,2015-06-04T00:00:00Z,10.1162/jocn_a_00832,2020-04-30T00:00:00Z,10.1162/jocn_x_01577,+Error in Methods;+Error in Results and/or Conclusions;
https://openalex.org/W2272742309,ADHD Symptoms and Entrepreneurial Orientation of Small Firm Owners,2016-02-05T00:00:00Z,10.1111/apps.12062,2020-04-27T00:00:00Z,10.1111/apps.12249,+Error in Data;+Results Not Reproducible;+Retract and Replace;
https://openalex.org/W2176823993,Prevalence and Predictors of Burnout Among Hospice and Palliative Care Clinicians in the US,2015-11-24T00:00:00Z,10.1016/j.jpainsymman.2015.10.020,2020-04-22T00:00:00Z,10.1016/j.jpainsymman.2020.03.027,+Error in Analyses;+Error in Results and/or Conclusions;
https://openalex.org/W2737572559,Perceived usefulness of personal protective equipment in pesticide use predicts farmers' willingness to use it,2017-07-26T00:00:00Z,10.1016/j.scitotenv.2017.07.125,2020-03-18T00:00:00Z,10.1016/j.scitotenv.2020.137472,+Fake Peer Review;+Investigation by Journal/Publisher;
https://openalex.org/W2765269144,"Understanding farmers' safety behaviour towards pesticide exposure and other occupational risks: The case of Zanjan, Iran",2017-10-26T00:00:00Z,10.1016/j.scitotenv.2017.10.201,2020-03-18T00:00:00Z,10.1016/j.scitotenv.2020.137471,+Fake Peer Review;+Investigation by Journal/Publisher;
https://openalex.org/W2804904571,Experimental investigation and theoretical analysis of the human comfort prediction model in a confined living space,2018-05-19T00:00:00Z,10.1016/j.applthermaleng.2018.05.057,2020-03-10T00:00:00Z,10.1016/j.applthermaleng.2020.115000,+False/Forged Authorship;
https://openalex.org/W3007019801,Mental health status and coping strategy of medical workers in China during The COVID-19 outbreak,2020-02-25T00:00:00Z,10.1101/2020.02.23.20026872,2020-03-07T00:00:00Z,10.1101/2020.02.23.20026872,+Concerns/Issues About Results;+Date of Retraction/Other Unknown;
https://openalex.org/W2939204210,Effectiveness of music therapy with relaxation technique on stress management as measured by perceived stress scale,2019-04-12T00:00:00Z,10.1097/MD.0000000000015107,2020-03-01T00:00:00Z,10.1097/MD.0000000000019635,+Error in Analyses;+Original Data not Provided;
https://openalex.org/W2966994271,Randomized controlled evaluation of the effect of music therapy with cognitive-behavioral therapy on social anxiety symptoms,2019-08-01T00:00:00Z,10.1097/MD.0000000000016495,2020-03-01T00:00:00Z,10.1097/MD.0000000000019634,+Error in Analyses;+Original Data not Provided;
https://openalex.org/W3000296240,Psychological predictors behind the intention to drink and drive among female drivers: Application of extended theory of planned behavior,2020-01-06T00:00:00Z,10.1080/15389588.2019.1703961,2020-02-20T00:00:00Z,10.1080/15389588.2020.1724013,+Error in Analyses;+Error in Methods;+Unreliable Results;
https://openalex.org/W2122185706,Alcohol Consumption and Health: Synergistic Interaction with Personality,1995-10-01T00:00:00Z,10.2466/pr0.1995.77.2.675,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2100927035,"Coca-Cola, Cancers, and Coronaries: Personality and Stress as Mediating Factors",1991-06-01T00:00:00Z,10.2466/pr0.1991.68.3c.1083,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2989757562,"Disruption, despair and renewal: impacts and voices of the Ukrainian geographical community about the 2014 Russian invasion",2019-11-28T00:00:00Z,10.1080/04353684.2019.1692634,2020-02-10T00:00:00Z,10.1080/04353684.2019.1708013,+Informed/Patient Consent - None/Withdrawn;+Lack of Approval from Third Party;
https://openalex.org/W2082601894,Does Smoking Really Kill Anybody,1995-12-01T00:00:00Z,10.2466/pr0.1995.77.3f.1243,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W1974099967,Length of Survival and Lymphocyte Percentage in Women with Mammary Cancer as a Function of Psychotherapy,1989-08-01T00:00:00Z,10.2466/pr0.1989.65.1.315,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2062388108,"Personality, Smoking, and Alcohol as Synergistic Risk Factors for Cancer of the Mouth and Pharynx",1990-04-01T00:00:00Z,10.2466/pr0.67.7.1024-1026,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2022955490,"Personality, Stress, and Motivational Factors in Drinking as Determinants of Risk for Cancer and Coronary Heart Disease",1991-12-01T00:00:00Z,10.2466/pr0.1991.69.3.1027,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2091888487,Prediction of Cancer and Coronary Heart Disease Mortality by Means of a Personality Inventory: Results of a 15-Year Follow-up Study,1993-04-01T00:00:00Z,10.2466/pr0.1993.72.2.499,2020-02-10T00:00:00Z,10.1177/0033294120901992,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2065742045,The Prediction of Death from Cancer by Means of Personality/Stress Questionnaire: Too Good to Be True,1990-08-01T00:00:00Z,10.2466/pms.1990.71.1.216,2020-02-10T00:00:00Z,10.1177/0031512520901994,+Concerns/Issues About Data;+Investigation by Company/Institution;
https://openalex.org/W2799474843,"Mental health status, and suicidal thoughts and behaviors of migrant children in eastern coastal China in comparison to urban children: a cross-sectional survey",2018-02-01T00:00:00Z,10.1186/s13034-018-0219-2,2020-01-21T00:00:00Z,10.1186/s13034-020-0311-2,+Lack of IRB/IACUC Approval;
https://openalex.org/W2804337307,"Job Stress, Burnout and the Relationship among the Science and Mathematics Teachers in Basic Education Schools",2018-05-15T00:00:00Z,10.29333/ejmste/85957,2019-12-17T00:00:00Z,10.29333/ejmste/115423,+Notice - Limited or No Information;
https://openalex.org/W2151119690,The Nature of Creativity,2010-06-08T00:00:00Z,10.1207/s15326934crj1801_10,2019-12-03T00:00:00Z,10.1080/10400419.2019.1647690,+Duplication of Article;
https://openalex.org/W2803648579,Short-term exposure to movie violence and implicit aggression during adolescence,2018-05-22T00:00:00Z,10.1177/0044118X18775846,2019-12-01T00:00:00Z,10.1177/0044118X19892168,+Concerns/Issues About Data;+Investigation by Journal/Publisher;+Investigation by Third Party;+Objections by Third Party;+Unreliable Results;
https://openalex.org/W2801812839,The Priming Effect of Violent Game Play on Aggression Among Adolescents,2018-04-18T00:00:00Z,10.1177/0044118X18770309,2019-12-01T00:00:00Z,10.1177/0044118X19892168,+Concerns/Issues About Data;+Investigation by Journal/Publisher;+Investigation by Third Party;+Objections by Third Party;+Unreliable Results;
https://openalex.org/W2030661745,Proud to Belong or Proudly Different Lay Theories Determine Contrasting Effects of Incidental Pride on Uniqueness Seeking,2014-06-19T00:00:00Z,10.1086/677225,2019-11-22T00:00:00Z,10.1093/jcr/ucz057,+Error in Analyses;+Error in Data;+Unreliable Results;
https://openalex.org/W2258745940,Development and Validation of the Mathematics Teachers' Beliefs About English Language Learners Survey (MTBELL),2016-01-26T00:00:00Z,10.1111/ssm.12157,2019-11-21T00:00:00Z,10.1111/ssm.12367,+Lack of Approval from Third Party;
https://openalex.org/W2793163497,Al Kharj diabetic patientsâ€™ perception about diabetes mellitus using revised-illness perception questionnaire (IPQ-R),2018-02-02T00:00:00Z,10.1186/s12875-018-0713-x,2019-11-05T00:00:00Z,10.1186/s12875-019-1043-3,+Author Unresponsive;+Duplication of Article;
https://openalex.org/W2888243679,Comparison of Clinical Significance of Cognitive-Behavioral Therapy and Psychodynamic Therapy for Major Depressive Disorder,2018-09-01T00:00:00Z,10.1097/NMD.0000000000000872,2019-10-31T00:00:00Z,10.1097/NMD.0000000000001113,+Error in Analyses;
https://openalex.org/W2982325589,Transient analysis of an M/M/1 queue with variant impatient behavior and working vacations,2018-09-20T00:00:00Z,10.1007/s12597-018-0339-8,2019-10-30T00:00:00Z,10.1007/s12597-019-00424-w,+Duplication of Article;
https://openalex.org/W2803908288,Use of personal protective equipment towards pesticide exposure: Farmers' attitudes and determinants of behavior,2018-05-26T00:00:00Z,10.1016/j.scitotenv.2018.05.203,2019-10-11T00:00:00Z,10.1016/j.scitotenv.2019.133597,+Fake Peer Review;
https://openalex.org/W3021379346,Response from Barbara L. Fredrickson,2019-08-24T00:00:00Z,10.1016/j.psyneuen.2019.104411,2019-10-08T00:00:00Z,10.1016/j.psyneuen.2019.104411,+Notice - Limited or No Information;+Temporary Removal;
https://openalex.org/W2978511071,Questions of Methodology and Psychological Knowledge in the Sphere of Process Differentiation and the Teaching about Evidence: Problems of Theory and Legislation,2016-01-01T00:00:00Z,10.17835/2078-5429.2016.7.3.143-152,2019-09-26T00:00:00Z,Unavailable,+Euphemisms for Plagiarism;+Plagiarism of Text;
https://openalex.org/W2192305793,Social Bayes: Using Bayesian Modeling to Study Autistic Traitâ€“Related Differences in Social Cognition,2015-12-09T00:00:00Z,10.1016/j.biopsych.2015.11.025,2019-09-23T00:00:00Z,10.1016/j.biopsych.2019.08.017,+Doing the Right Thing;+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;
https://openalex.org/W2592322327,Antidiabetic medication adherence and associated factors among patients in Botswana; implications for the future,2019-05-17T00:00:00Z,10.1016/j.ajme.2017.01.005,2019-08-27T00:00:00Z,10.1080/20905068.2019.1656866,+Error in Methods;+Unreliable Data;+Unreliable Results;
https://openalex.org/W2808421561,Determinants of consumer willingness to pay for certified safe vegetables,2018-06-11T00:00:00Z,10.1080/19315260.2018.1484836,2019-08-26T00:00:00Z,10.1080/19315260.2019.1638009,+Error in Data;+Error in Methods;+Error in Results and/or Conclusions;+Lack of Approval from Company/Institution;+Lack of Approval from Third Party;
https://openalex.org/W2959474491,Aspects of cognitive performance relating to Theory of Mind (ToM) among people diagnosed with Post-Traumatic Stress Disorder (PTSD),2019-06-28T00:00:00Z,10.2147/NDT.S214595,2019-08-16T00:00:00Z,10.2147/NDT.S227512,+Concerns/Issues About Data;
https://openalex.org/W2883263803,Test-Retest Reliability of Dynamic Balance Performance-Based Measures Among Adults With a Unilateral Lower-Limb Amputation,2019-03-07T00:00:00Z,10.1016/j.pmrj.2018.07.005,2019-08-12T00:00:00Z,10.1002/pmrj.12233,+Error in Analyses;+Error in Results and/or Conclusions;
https://openalex.org/W2944624667,Team-based Learning and the Analytical Skills of Medical Students as a Consequence of Increased Problem Difficulty,2019-05-10T00:00:00Z,10.7759/cureus.4639,2019-08-06T00:00:00Z,10.7759/cureus.r16,+Plagiarism of Article;
https://openalex.org/W1925740804,The Negative Association between Religiousness and Children's Altruism across the World,2015-11-05T00:00:00Z,10.1016/j.cub.2015.09.056,2019-08-05T00:00:00Z,10.1016/j.cub.2019.07.030,+Error in Analyses;+Error in Results and/or Conclusions;
https://openalex.org/W2762360328,An Exploratory Study of the Relationship Between the Big-Five Personality Dimensions and Political Skills with Military Staff Membersâ€™ Perceived Performance,2017-10-06T00:00:00Z,10.16993/sjwop.31,2019-07-17T00:00:00Z,10.16993/sjwop.94,+Error in Analyses;+Unreliable Results;
https://openalex.org/W3022149110,Workplace bullying and its preventive measures and productivity among emergency department nurses,2019-05-17T00:00:00Z,10.1186/s13584-019-0314-8,2019-07-04T00:00:00Z,10.1186/s13584-019-0330-8,+Error by Journal/Publisher;+Withdrawn to Publish in Different Journal;
https://openalex.org/W2175559495,Factor Structure and Psychometric Properties of the Index of Teaching Stressâ€”Short Form (ITSâ€”SF),2015-12-01T00:00:00Z,10.2466/08.PR0.117c24z5,2019-06-27T00:00:00Z,10.1177/0033294119853951,+Lack of Approval from Third Party;
https://openalex.org/W2173696888,Attitudes of Saudi Nursing Students on AIDS and Predictors of Willingness to Provide Care for Patients in Central Saudi Arabia,2013-08-07T00:00:00Z,10.1177/2158244013499163,2019-06-18T00:00:00Z,10.1177/2158244019861254,+Duplication of Article;+Euphemisms for Duplication;
https://openalex.org/W2785323391,"Mental health in UK Biobank: development, implementation and results from an online questionnaire completed by 157 366 participants",2018-04-03T00:00:00Z,10.1192/bjo.2018.12,2019-06-17T00:00:00Z,10.1192/bjo.2019.46,+Error in Analyses;+Error in Results and/or Conclusions;+Upgrade/Update of Prior Notice;
https://openalex.org/W4205881605,Content validity and psychometric evaluation of functional assessment of chronic illness therapy-fatigue in patients with psoriatic arthritis,2019-01-24T00:00:00Z,10.1186/s41687-019-0094-5,2019-05-28T00:00:00Z,10.1186/s41687-019-0125-2,+Error by Journal/Publisher;+Retract and Replace;
https://openalex.org/W2298793005,Background of the Constitution of Neuropedagogy in Russia,2016-01-01T00:00:00Z,10.18454/IRJ.2016.46.004,2019-05-23T00:00:00Z,Unavailable,+Euphemisms for Plagiarism;+Plagiarism of Text;
https://openalex.org/W2884437389,Effects of Therapy on Religious Men Who Have Unwanted Same-Sex Attraction,2018-07-23T00:00:00Z,10.1177/0024363918788559,2019-05-23T00:00:00Z,10.1177/0024363919854842,+Error in Analyses;+Error in Methods;+Unreliable Results;
https://openalex.org/W2942683064,Humor and Borderline Personality,2017-12-01T00:00:00Z,10.1017/thg.2019.15,2019-05-02T00:00:00Z,10.1017/thg.2019.15,+Concerns/Issues About Authorship;+Plagiarism of Article;
https://openalex.org/W2889731194,How many bereaved people hallucinate about their loved one? A systematic review and meta-analysis of bereavement hallucinations,2018-08-17T00:00:00Z,10.1016/j.jad.2018.09.039,2019-04-08T00:00:00Z,10.1016/j.jad.2019.02.067,+Euphemisms for Plagiarism;+Plagiarism of Text;
https://openalex.org/W2126310502,Collective fit perceptions: A multilevel investigation of personâ€“group fit with individual-level and team-level outcomes,2014-06-11T00:00:00Z,10.1002/job.1942,2019-03-28T00:00:00Z,10.1002/job.2365,+Falsification/Fabrication of Data;+Misconduct by Author;
