id,title,publication_date,doi_for_requesting,record_id,title2
https://openalex.org/W2130836170,Search of Self Amidst Chaos,2015-03-14,https://doi.org/10.1007/s40737-015-0023-8,24759,Search of Self Amidst Chaos
https://openalex.org/W2030513569,Impact of disguise on identification decisions and confidence with simultaneous and sequential lineups,2012-02-20,https://doi.org/10.1037/h0093937,25005,Impact of disguise on identification decisions and confidence with simultaneous and sequential lineups
https://openalex.org/W3100972095,Observations on Homosexuality Among University Students: Retraction.,2020-11-12,https://doi.org/10.1097/nmd.0000000000001273,NA,NA
https://openalex.org/W3016622814,Psychometric properties of a short version of the Job Anxiety Scale.,2020-04-21,https://doi.org/10.1186/s12874-020-00974-4,24715,Psychometric properties of a short version of the Job Anxiety Scale
https://openalex.org/W2890034505,Cardiovascular and Self-Regulatory Consequences of SES-Based Social Identity Threat.,2019-05-01,https://doi.org/10.1177/0146167218795157,24912,Cardiovascular and Self-Regulatory Consequences of SES-Based Social Identity Threat
https://openalex.org/W3031414725,RETRACTED ARTICLE: Writer identification using graphemes,2020-12-01,https://doi.org/10.1007/s12046-020-1276-9,24623,Writer identification using graphemes
https://openalex.org/W2566539855,The article examines the multiplicity of views of the phenomenon of organizational culture in the framework of modern socio-humanitarian knowledge,2016-09-01,https://doi.org/10.17223/1998863x/35/1,NA,NA
https://openalex.org/W3015988522,Mental health burden for the public affected by the COVID-19 outbreak in China: Who will be the high-risk group?,2021-01-02,https://doi.org/10.1080/13548506.2020.1754438,24459,Mental health burden for the public affected by the COVID-19 outbreak in China: Who will be the high-risk group
https://openalex.org/W2107036575,Looking for my self: Identity-driven attention allocation,2015-07-01,https://doi.org/10.1016/j.jcps.2015.01.001,24455,Looking for My Self: Identityâ€Driven Attention Allocation
https://openalex.org/W3087365135,WITHDRAWN: Participants’ perception of the AIIMS Trauma Assessment and Management (ATAM) course for management of polytrauma due to road traffic injuries: A multi-institutional experience from India,2020-11-01,https://doi.org/10.1016/j.jcot.2020.09.016,24499,Participantsâ€™ perception of the AIIMS Trauma Assessment and Management (ATAM) course for management of polytrauma due to road traffic injuries: A multi-institutional experience from India
https://openalex.org/W2168925826,Men’s music ability and attractiveness to women in a real-life courtship context,2014-07-01,https://doi.org/10.1177/0305735613482025,24365,Menâ€™s music ability and attractiveness to women in a real-life courtship context
https://openalex.org/W2788125042,Witnessing moral violations increases conformity in consumption.,2017-12-01,https://doi.org/10.1093/jcr/ucx061,24380,Witnessing Moral Violations Increases Conformity in Consumption
https://openalex.org/W3015365171,Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study.,2020-04-01,https://doi.org/10.1136/bmjpo-2019-000620,24525,Cognitive-behavioural therapy combined with music therapy for chronic fatigue following Epstein-Barr virus infection in adolescents: a feasibility study
https://openalex.org/W2977894850,Retracted: The Three-Step Theory of Suicide: An Independent Replication and Conceptual Extension.,2020-06-01,https://doi.org/10.1111/sltb.12590,28618,The Threeâ€Step Theory of Suicide: An Independent Replication and Conceptual Extension
https://openalex.org/W3000574129,"No glove, no love: General intelligence predicts increased likelihood of condom use in response to HIV threat",2020-04-15,https://doi.org/10.1016/j.paid.2020.109813,24187,"No glove, no love: General intelligence predicts increased likelihood of condom use in response to HIV threat"
https://openalex.org/W3045846088,Gender Differences in Alcohol Treatment.,2020-07-29,https://doi.org/10.1093/alcalc/agaa071,24185,Gender Differences in Alcohol Treatment
https://openalex.org/W2923853181,"Knowledge, Attitudes, and Perceptions Toward Tuberculosis in Bangladesh: A Cross-Sectional Mixed Methods Study:",2019-03-18,https://doi.org/10.1177/1054137319836004,28903,"Knowledge, Attitudes, and Perceptions Toward Tuberculosis in Bangladesh: A Cross-Sectional Mixed Methods Study"
https://openalex.org/W3047921702,"RETRACTED ARTICLE: What are postgraduates like in the eyes of their supervisors?—The content, structure, and measurement of supervisors’ implicit followership theories",2020-08-07,https://doi.org/10.1007/s12144-020-00976-x,29634,"What are postgraduates like in the eyes of their supervisors?â€”The content, structure, and measurement of supervisorsâ€™ implicit followership theories"
https://openalex.org/W2916383245,"RETRACTED: Resilience, Parenting Style, and Children’s Eating Behavior:",2019-02-17,https://doi.org/10.1177/1524500419831084,28905,"Resilience, Parenting Style, and Childrenâ€™s Eating Behavior"
https://openalex.org/W2331853116,The Achilles' heel hypothesis: misinformed keystone individuals impair collective learning and reduce group success.,2016-01-27,https://doi.org/10.1098/rspb.2015.2888,23864,The Achilles' heel hypothesis: misinformed keystone individuals impair collective learning and reduce group success
https://openalex.org/W3042669277,RETRACTED: Analysis on the preventive effect preventive initiatives for older adults using artificial intelligence techniques,2020-07-16,https://doi.org/10.1007/s12144-020-00855-5,29636,Analysis on the preventive effect preventive initiatives for older adults using artificial intelligence techniques
https://openalex.org/W2848277139,"Identity threats, compensatory consumption, and working memory capacity: How feeling threatened leads to heightened evaluations of identity-relevant products",2019-06-01,https://doi.org/10.1093/jcr/ucy060,23659,"Identity Threats, Compensatory Consumption, and Working Memory Capacity: How Feeling Threatened Leads to Heightened Evaluations of Identity-Relevant Products"
https://openalex.org/W3002654673,Declines in Religiosity Predict Increases in Violent Crime-but Not Among Countries With Relatively High Average IQ.,2020-01-21,https://doi.org/10.1177/0956797619897915,23633,Declines in Religiosity Predict Increases in Violent Crime-but Not Among Countries With Relatively High Average IQ
https://openalex.org/W3037901691,"RETRACTED ARTICLE: The platform feature, self-concept congruence and brand experience: A fuzzy set-based qualitative comparative analysis based on WeChat",2020-06-23,https://doi.org/10.1007/s12144-020-00788-z,29637,"The platform feature, self-concept congruence and brand experience: A fuzzy set-based qualitative comparative analysis based on WeChat"
https://openalex.org/W2898493265,Insomnia and problematic gaming: a study in 9 low-and middle-incomes countries,2018-10-26,https://doi.org/10.1101/451724,24844,Insomnia and problematic gaming: a study in 9 low-and middle-incomes countries
https://openalex.org/W2083352822,Do pigmentation and the melanocortin system modulate aggression and sexuality in humans as they do in other animals,2012-07-01,https://doi.org/10.1016/j.paid.2012.02.015,23589,Do pigmentation and the melanocortin system modulate aggression and sexuality in humans as they do in other animals?
https://openalex.org/W3034607120,RETRACTED ARTICLE: CSI300 volatility predicting by internet users’ searching behavior,2020-06-13,https://doi.org/10.1007/s12144-020-00812-2,29638,CSI300 volatility predicting by internet usersâ€™ searching behavior
https://openalex.org/W3034533834,RETRACTED ARTICLE: Chinese WeChat users and their behavioural features: A case study based on the grounded theory,2020-06-09,https://doi.org/10.1007/s12144-020-00825-x,29639,Chinese WeChat users and their behavioural features: A case study based on the grounded theory
https://openalex.org/W2790158165,Connections to Brands That Help Others versus Help the Self: The Impact of Incidental Awe and Pride on Consumer Relationships with Social-Benefit and Luxury Brands,2018-03-12,https://doi.org/10.1086/697083,23582,Connections to Brands That Help Others versus Help the Self: The Impact of Incidental Awe and Pride on Consumer Relationships with Social-Benefit and Luxury Brands
https://openalex.org/W2321745941,THE STUDY OF SPECIAL ASPECTS OF ETHNIC MENTAL REGULATION OF FORMATION OF PROJECT OF LIFE AT A YOUNG AGE,2016-03-30,https://doi.org/10.18323/2221-5662-2016-1-93-98,27767,Study of Peculiarities of Ethnomental Regulation of Life Perspective Construction in Young Age
https://openalex.org/W2944891671,Hospital admission and readmission among homeless patients with neurologic disease.,2019-06-11,https://doi.org/10.1212/wnl.0000000000007645,NA,NA
https://openalex.org/W3005458839,"Insomnia, sleepiness, anxiety and depression among different types of gamers in African countries.",2020-02-06,https://doi.org/10.1038/s41598-020-58462-0,23541,"Insomnia, Sleepiness, Anxiety and Depression Among Different Types of Gamers in African Countries"
https://openalex.org/W2618618692,Social and psychological characteristics of architectural design,2017-01-01,https://doi.org/10.18503/2309-7434-2017-1(9)-27-31,26596,Social and Psychological Characteristics of Architectural Design
https://openalex.org/W3039835111,Quantic approach to mind-matter interaction,2020-04-25,https://doi.org/10.12032/life2020-0422-401,23449,Quantic approach to mind-matter interaction
https://openalex.org/W2896070356,"Quality of Life and PTSD Symptoms, and Temperament and Coping With Stress.",2018-11-01,https://doi.org/10.3389/fpsyg.2018.02072,23517,"Quality of Life and PTSD Symptoms, and Temperament and Coping With Stress"
https://openalex.org/W4205830800,Association between particulate matter air pollution and risk of depression and suicide: systematic review and meta-analysis – RETRACTED,2019-02-05,https://doi.org/10.1192/bjp.2018.295,23278,Association Between Particulate Matter Air Pollution and Risk of Depression and Suicide: Systematic Review and Meta-Analysis
https://openalex.org/W2150812040,Visual causality judgments correlate with the phase of alpha oscillations,2015-10-01,https://doi.org/10.1162/jocn_a_00832,23277,Visual causality judgments correlate with the phase of alpha oscillations
https://openalex.org/W2272742309,ADHD Symptoms and Entrepreneurial Orientation of Small Firm Owners,2016-07-01,https://doi.org/10.1111/apps.12062,23369,ADHD Symptoms and Entrepreneurial Orientation of Small Firm Owners
https://openalex.org/W2176823993,Prevalence and Predictors of Burnout Among Hospice and Palliative Care Clinicians in the U.S.,2016-04-01,https://doi.org/10.1016/j.jpainsymman.2015.10.020,23223,Prevalence and Predictors of Burnout Among Hospice and Palliative Care Clinicians in the US
https://openalex.org/W2737572559,Perceived usefulness of personal protective equipment in pesticide use predicts farmers' willingness to use it,2017-12-31,https://doi.org/10.1016/j.scitotenv.2017.07.125,22947,Perceived usefulness of personal protective equipment in pesticide use predicts farmers' willingness to use it
https://openalex.org/W2765269144,"Understanding farmers' safety behaviour towards pesticide exposure and other occupational risks: the case of Zanjan, Iran.",2018-03-01,https://doi.org/10.1016/j.scitotenv.2017.10.201,22945,"Understanding farmers' safety behaviour towards pesticide exposure and other occupational risks: The case of Zanjan, Iran"
https://openalex.org/W2804904571,RETRACTED: Experimental investigation and theoretical analysis of the human comfort prediction model in a confined living space,2018-08-01,https://doi.org/10.1016/j.applthermaleng.2018.05.057,23304,Experimental investigation and theoretical analysis of the human comfort prediction model in a confined living space
https://openalex.org/W3007019801,Mental health status and coping strategy of medical workers in China during The COVID-19 outbreak,2020-03-07,https://doi.org/10.1101/2020.02.23.20026872,23476,Mental health status and coping strategy of medical workers in China during The COVID-19 outbreak
https://openalex.org/W2939204210,Effectiveness of music therapy with relaxation technique on stress management as measured by perceived stress scale.,2019-04-01,https://doi.org/10.1097/md.0000000000015107,NA,NA
https://openalex.org/W2966994271,Randomized controlled evaluation of the effect of music therapy with cognitive-behavioral therapy on social anxiety symptoms.,2019-08-01,https://doi.org/10.1097/md.0000000000016495,NA,NA
https://openalex.org/W3000296240,RETRACTED ARTICLE: Psychological predictors behind the intention to drink and drive among female drivers: Application of extended theory of planned behavior.,2020-01-06,https://doi.org/10.1080/15389588.2019.1703961,22603,Psychological predictors behind the intention to drink and drive among female drivers: Application of extended theory of planned behavior
https://openalex.org/W2122185706,Alcohol Consumption and Health: Synergistic Interaction with Personality:,1995-10-01,https://doi.org/10.2466/pr0.1995.77.2.675,22416,Alcohol Consumption and Health: Synergistic Interaction with Personality
https://openalex.org/W2100927035,"Coca-Cola, Cancers, and Coronaries: Personality and Stress as Mediating Factors:",1991-06-01,https://doi.org/10.2466/pr0.1991.68.3c.1083,22414,"Coca-Cola, Cancers, and Coronaries: Personality and Stress as Mediating Factors"
https://openalex.org/W2989757562,"RETRACTED ARTICLE: Disruption, despair and renewal: impacts and voices of the Ukrainian geographical community about the 2014 Russian invasion",2020-04-02,https://doi.org/10.1080/04353684.2019.1692634,22503,"Disruption, despair and renewal: impacts and voices of the Ukrainian geographical community about the 2014 Russian invasion"
https://openalex.org/W2082601894,DOES SMOKING REALLY KILL ANYBODY,1995-12-01,https://doi.org/10.2466/pr0.1995.77.3f.1243,22419,Does Smoking Really Kill Anybody
https://openalex.org/W1974099967,Length of Survival and Lymphocyte Percentage in Women with Mammary Cancer as a Function of Psychotherapy,1989-08-01,https://doi.org/10.2466/pr0.1989.65.1.315,22411,Length of Survival and Lymphocyte Percentage in Women with Mammary Cancer as a Function of Psychotherapy
https://openalex.org/W2062388108,"Personality, smoking, and alcohol as synergistic risk factors for cancer of the mouth and pharynx.",1990-12-01,https://doi.org/10.2466/pr0.67.7.1024-1026,22413,"Personality, Smoking, and Alcohol as Synergistic Risk Factors for Cancer of the Mouth and Pharynx"
https://openalex.org/W2022955490,"Personality, stress, and motivational factors in drinking as determinants of risk for cancer and coronary heart disease.",1991-12-01,https://doi.org/10.2466/pr0.1991.69.3.1027,22415,"Personality, Stress, and Motivational Factors in Drinking as Determinants of Risk for Cancer and Coronary Heart Disease"
https://openalex.org/W2091888487,Prediction of cancer and coronary heart disease mortality by means of a personality inventory: results of a 15-year follow-up study.,1993-04-01,https://doi.org/10.2466/pr0.1993.72.2.499,22418,Prediction of Cancer and Coronary Heart Disease Mortality by Means of a Personality Inventory: Results of a 15-Year Follow-up Study
https://openalex.org/W2065742045,The Prediction of Death from Cancer by Means of Personality/Stress Questionnaire: Too Good to Be True?:,1990-08-01,https://doi.org/10.2466/pms.1990.71.1.216,22395,The Prediction of Death from Cancer by Means of Personality/Stress Questionnaire: Too Good to Be True
https://openalex.org/W2799474843,"Mental health status, and suicidal thoughts and behaviors of migrant children in eastern coastal China in comparison to urban children: a cross-sectional survey.",2018-02-01,https://doi.org/10.1186/s13034-018-0219-2,22222,"Mental health status, and suicidal thoughts and behaviors of migrant children in eastern coastal China in comparison to urban children: a cross-sectional survey"
https://openalex.org/W2804337307,"Job Stress, Burnout and the Relationship among the Science and Mathematics Teachers in Basic Education Schools",2018-05-15,https://doi.org/10.29333/ejmste/85957,21857,"Job Stress, Burnout and the Relationship among the Science and Mathematics Teachers in Basic Education Schools"
https://openalex.org/W2151119690,The Nature of Creativity,2010-06-08,https://doi.org/10.1207/s15326934crj1801_10,21780,The Nature of Creativity
https://openalex.org/W2803648579,RETRACTED: Short-Term Exposure to Movie Violence and Implicit Aggression During Adolescence:,2018-05-22,https://doi.org/10.1177/0044118x18775846,NA,NA
https://openalex.org/W2801812839,RETRACTED: The Priming Effect of Violent Game Play on Aggression Among Adolescents:,2018-04-18,https://doi.org/10.1177/0044118x18770309,NA,NA
https://openalex.org/W2030661745,Proud to Belong or Proudly Different? Lay Theories Determine Contrasting Effects of Incidental Pride on Uniqueness Seeking,2014-10-01,https://doi.org/10.1086/677225,21695,Proud to Belong or Proudly Different Lay Theories Determine Contrasting Effects of Incidental Pride on Uniqueness Seeking
https://openalex.org/W2258745940,Development and Validation of the Mathematics Teachers' Beliefs About English Language Learners Survey (MTBELL),2016-02-01,https://doi.org/10.1111/ssm.12157,21667,Development and Validation of the Mathematics Teachers' Beliefs About English Language Learners Survey (MTBELL)
https://openalex.org/W2793163497,Al Kharj diabetic patients' perception about diabetes mellitus using revised-illness perception questionnaire (IPQ-R).,2018-02-02,https://doi.org/10.1186/s12875-018-0713-x,21573,Al Kharj diabetic patientsâ€™ perception about diabetes mellitus using revised-illness perception questionnaire (IPQ-R)
https://openalex.org/W2888243679,Comparison of Clinical Significance of Cognitive-Behavioral Therapy and Psychodynamic Therapy for Major Depressive Disorder: A Randomized Clinical Trial.,2018-09-01,https://doi.org/10.1097/nmd.0000000000000872,NA,NA
https://openalex.org/W2982325589,RETRACTED ARTICLE: Transient analysis of an M/M/1 queue with variant impatient behavior and working vacations,2018-11-01,https://doi.org/10.1007/s12597-018-0339-8,21523,Transient analysis of an M/M/1 queue with variant impatient behavior and working vacations
https://openalex.org/W2803908288,RETRACTED: Use of personal protective equipment towards pesticide exposure: Farmers' attitudes and determinants of behavior.,2018-10-15,https://doi.org/10.1016/j.scitotenv.2018.05.203,21379,Use of personal protective equipment towards pesticide exposure: Farmers' attitudes and determinants of behavior
https://openalex.org/W3021379346,WITHDRAWN: Response from Barbara L. Fredrickson,2019-08-24,https://doi.org/10.1016/j.psyneuen.2019.104411,21420,Response from Barbara L. Fredrickson
https://openalex.org/W2978511071,Methodology and Psychological Knowledge Issues in the Procedural Differentiation Sphere and the Evidence Doctrine: Problems of Theory and Legislation,2016-09-25,https://doi.org/10.17835/2078-5429.2016.7.3.143-152,28455,Questions of Methodology and Psychological Knowledge in the Sphere of Process Differentiation and the Teaching about Evidence: Problems of Theory and Legislation
https://openalex.org/W2192305793,Social Bayes: Using Bayesian Modeling to Study Autistic Trait–Related Differences in Social Cognition,2016-07-15,https://doi.org/10.1016/j.biopsych.2015.11.025,21306,Social Bayes: Using Bayesian Modeling to Study Autistic Traitâ€“Related Differences in Social Cognition
https://openalex.org/W2592322327,Antidiabetic medication adherence and associated factors among patients in Botswana; implications for the future,2018-06-01,https://doi.org/10.1016/j.ajme.2017.01.005,21145,Antidiabetic medication adherence and associated factors among patients in Botswana; implications for the future
https://openalex.org/W2808421561,DETERMINANTS OF CONSUMER WILLINGNESS TO PAY FOR CERTIFIED SAFE VEGETABLES,2019-01-02,https://doi.org/10.1080/19315260.2018.1484836,21104,Determinants of consumer willingness to pay for certified safe vegetables
https://openalex.org/W2959474491,Aspects of Cognitive Performance Relating to Theory of Mind (ToM) Among People Diagnosed With Post-Traumatic Stress Disorder (PTSD),2019-07-17,https://doi.org/10.2147/ndt.s214595,NA,NA
https://openalex.org/W2883263803,Test-Retest Reliability of Dynamic Balance Performance-Based Measures Among Adults With a Unilateral Lower-Limb Amputation,2019-03-01,https://doi.org/10.1016/j.pmrj.2018.07.005,21065,Test-Retest Reliability of Dynamic Balance Performance-Based Measures Among Adults With a Unilateral Lower-Limb Amputation
https://openalex.org/W2944624667,Team-based Learning and the Analytical Skills of Medical Students as a Consequence of Increased Problem Difficulty,2019-05-10,https://doi.org/10.7759/cureus.4639,21021,Team-based Learning and the Analytical Skills of Medical Students as a Consequence of Increased Problem Difficulty
https://openalex.org/W1925740804,The Negative Association between Religiousness and Children’s Altruism across the World,2015-11-16,https://doi.org/10.1016/j.cub.2015.09.056,21002,The Negative Association between Religiousness and Children's Altruism across the World
https://openalex.org/W2762360328,An Exploratory Study of the Relationship Between the Big-Five Personality Dimensions and Political Skills with Military Staff Members’ Perceived Performance,2017-10-06,https://doi.org/10.16993/sjwop.31,20904,An Exploratory Study of the Relationship Between the Big-Five Personality Dimensions and Political Skills with Military Staff Membersâ€™ Perceived Performance
https://openalex.org/W3022149110,Workplace bullying and its preventive measures and productivity among emergency department nurses.,2019-05-17,https://doi.org/10.1186/s13584-019-0314-8,20833,Workplace bullying and its preventive measures and productivity among emergency department nurses
https://openalex.org/W2175559495,FACTOR STRUCTURE AND PSYCHOMETRIC PROPERTIES OF THE INDEX OF TEACHING STRESS-SHORT FORM (ITS-SF).,2015-12-01,https://doi.org/10.2466/08.pr0.117c24z5,NA,NA
https://openalex.org/W2173696888,Attitudes of Saudi Nursing Students on AIDS and Predictors of Willingness to Provide Care for Patients in Central Saudi Arabia,2013-08-07,https://doi.org/10.1177/2158244013499163,20683,Attitudes of Saudi Nursing Students on AIDS and Predictors of Willingness to Provide Care for Patients in Central Saudi Arabia
https://openalex.org/W2785323391,"Mental health in UK Biobank: development, implementation and results from an online questionnaire completed by 157 366 participants",2018-04-03,https://doi.org/10.1192/bjo.2018.12,20748,"Mental health in UK Biobank: development, implementation and results from an online questionnaire completed by 157 366 participants"
https://openalex.org/W4205881605,RETRACTED ARTICLE: Content validity and psychometric evaluation of Functional Assessment of Chronic Illness Therapy-Fatigue in patients with psoriatic arthritis,2019-01-24,https://doi.org/10.1186/s41687-019-0094-5,20531,Content validity and psychometric evaluation of functional assessment of chronic illness therapy-fatigue in patients with psoriatic arthritis
https://openalex.org/W2298793005,article retracted: BACKGROUND OF CONSTITUTION OF NEUROPEDAGOGICS IN RUSSIA,2016-04-18,https://doi.org/10.18454/irj.2016.46.004,NA,NA
https://openalex.org/W2884437389,RETRACTED: Effects of Therapy on Religious Men Who Have Unwanted Same-Sex Attraction:,2020-02-01,https://doi.org/10.1177/0024363918788559,20612,Effects of Therapy on Religious Men Who Have Unwanted Same-Sex Attraction
https://openalex.org/W2942683064,Humor and Borderline Personality - Retraction.,2019-04-01,https://doi.org/10.1017/thg.2019.15,20402,Humor and Borderline Personality
https://openalex.org/W2889731194,RETRACTED: How many bereaved people hallucinate about their loved one? A systematic review and meta-analysis of bereavement hallucinations,2019-01-15,https://doi.org/10.1016/j.jad.2018.09.039,20309,How many bereaved people hallucinate about their loved one? A systematic review and meta-analysis of bereavement hallucinations
https://openalex.org/W2126310502,Collective fit perceptions: A multilevel investigation of person–group fit with individual-level and team-level outcomes,2014-10-01,https://doi.org/10.1002/job.1942,20205,Collective fit perceptions: A multilevel investigation of personâ€“group fit with individual-level and team-level outcomes
https://openalex.org/W2890851041,Association of clinical specialty with symptoms of burnout and career choice regret among US resident physicians,2018-09-18,https://doi.org/10.1001/jama.2018.12615,20190,Association of Clinical Specialty With Symptoms of Burnout and Career Choice Regret Among US Resident Physicians
https://openalex.org/W2888459309,Influence of the Left-Behind Experience on Self-Efficacy of College Students.,2019-03-01,https://doi.org/10.3928/02793695-20180815-02,20188,Influence of the Left-Behind Experience on Self-Efficacy of College Students
https://openalex.org/W2913545473,RETRACTED: The Transition of the Children from the Preschool Institutions to the Primary School in the Kosovo,2019-01-08,https://doi.org/10.4236/ce.2019.101015,20870,The Transition of the Children from the Preschool Institutions to the Primary School in the Kosovo
https://openalex.org/W2003948162,Structural stigma and all-cause mortality in sexual minority populations.,2014-02-01,https://doi.org/10.1016/j.socscimed.2013.06.005,20067,Structural stigma and all-cause mortality in sexual minority populations
https://openalex.org/W2075796680,Religion and mental health.,2013-01-01,https://doi.org/10.4103/0019-5545.105526,19816,Religion and mental health
https://openalex.org/W2797614968,The princess of polka dots: Using art as a medium to cope with hallucinations.,2018-01-01,https://doi.org/10.4103/psychiatry.indianjpsychiatry_149_18,NA,NA
https://openalex.org/W2703096805,Limited individual attention and online virality of low-quality information,2017-06-26,https://doi.org/10.1038/s41562-017-0132,19793,Limited individual attention and online virality of low-quality information
https://openalex.org/W2910110160,Психологическое состояние современного российского общества: новые тенденции,2018-12-30,https://doi.org/10.17323/1813-8918-2018-4-695-710,26438,Psychological State of Modern Russian Society: New Trends
https://openalex.org/W2119283153,"WELL.ME - Wellbeing therapy based on real-time personalized mobile architecture, vs. cognitive therapy, to reduce psychological distress and promote healthy lifestyle in cardiovascular disease patients: study protocol for a randomized controlled trial",2012-09-03,https://doi.org/10.1186/1745-6215-13-157,19697,"WELL.ME - Wellbeing therapy based on real-time personalized mobile architecture, vs. cognitive therapy, to reduce psychological distress and promote healthy lifestyle in cardiovascular disease patients: study protocol for a randomized controlled trial"
https://openalex.org/W2124477010,"The illusory nature of ontological status and its implications for legal, moral and social organisation",2008-03-01,https://doi.org/10.1017/s1744552308001031,NA,NA
https://openalex.org/W2129746224,Transgenerational association: extending the notion of the person - RETRACTION,2009-06-01,https://doi.org/10.1017/s1744552309990024,NA,NA
https://openalex.org/W2800284489,Visual Darkness Reduces Perceived Risk of Contagious-Disease Transmission From Interpersonal Interaction,2018-05-11,https://doi.org/10.1177/0956797617749637,19701,Visual darkness reduces perceived risk of contagious-disease transmission from interpersonal interaction
https://openalex.org/W3123011103,"Meal Size, Not Body Size, Explains Errors in Estimating the Calorie Content of Meals",2006-09-05,https://doi.org/10.7326/0003-4819-145-5-200609050-00005,19619,"Meal Size, Not Body Size, Explains Errors in Estimating the Calorie Content of Meals"
https://openalex.org/W2314701954,A Model for Ethical Reasoning,2012-12-01,https://doi.org/10.1037/a0027854,19712,A model for ethical reasoning
https://openalex.org/W2981389372,Retracted: Automatic identification of e-learner emotional states to ameliorate her/his motivation,2018-05-25,https://doi.org/10.4314/jfas.v10i4s.206,22677,Automatic identification of e-learner emotional states to ameliorate her/his motivation
https://openalex.org/W2913062135,Retracted: Determinants of internet banking usage in Malaysia: technology acceptance model,2018-05-28,https://doi.org/10.4314/jfas.v10i4s.254,22796,Determinants of internet banking usage in Malaysia: technology acceptance model
https://openalex.org/W2807976391,Retracted: Examining the attunement between health literacy and hope in patients with acute coronary syndrome (ACS) admitted to the hospitals of Jahrom University of medical sciences,2018-03-07,https://doi.org/10.4314/jfas.v10i6s.59,21984,Examining the attunement between health literacy and hope in patients with acute coronary syndrome (ACS) admitted to the hospitals of Jahrom University of medical sciences
https://openalex.org/W2888543973,Retracted: Factors influencing the intention to whistle blow on corruption and fraud,2018-05-28,https://doi.org/10.4314/jfas.v10i4s.253,22791,Factors influencing the intention to whistle blow on corruption and fraud
